"translation","source","can_modify"
"Dummy","ダミー","1"
"Zero","Zero","1"
"Explanation","説明文","1"
"Soldado G","Soldier G","1"
"Soldado A","Soldier A","1"
"Soldado B","Soldier B","1"
"Soldado E","Soldier E","1"
"Soldado C","Soldier C","1"
"Soldado D","Soldier D","1"
"Soldado F","Soldier F","1"
"Soldados C/D","Soldiers C/D","1"
"Soldado C","兵士C","1"
"Mikhail","Mikhail","1"
"163","163","1"
"361","361","1"
"Zero","ゼロ","1"
"Mikhail","ミハイル","1"
"289","289","1"
"217","217","1"
"253","253","1"
"199","199","1"
