"translation","source","can_modify"
"Explicação","説明文","1"
"a","a","1"
"Soldado A","Soldier A","1"
"Soldado F","Soldier F","1"
"Soldado G","Soldier G","1"
"Soldado E","Soldier E","1"
"Soldado B","Soldier B","1"
"Soldado C","Soldier C","1"
"Soldado D","Soldier D","1"
"Soldado D","兵士D","1"
"Zero","Zero","1"
"Mikhail","Mikhail","1"
"Dito","Dito","1"
"451","451","1"
"253","253","1"
"127","127","1"
"271","271","1"
"595","595","1"
"415","415","1"
"289","289","1"
"Zero","ゼロ","1"
"Mikhail","ミハイル","1"
"379","379","1"
"91","91","1"
"Soldado A","兵士A","1"
"Dito","ディト","1"
"Acordo","Accord","1"
