"translation","source","can_modify"
"Description","説明文","1"
"Soldier A","Soldier A","1"
"Soldier B","Soldier B","1"
"Soldier C","Soldier C","1"
"Soldier D","Soldier D","1"
"Soldier E","Soldier E","1"
"Soldier G","Soldier G","1"
"Soldier F","Soldier F","1"
"Mikhail","Mikhail","1"
"Zero","Zero","1"
"Soldier A","兵士Ａ","1"
"Cent","Cent","1"
"541","541","1"
"Dito","ディト","1"
"Dito","Dito","1"
"Soldier F","兵士Ｆ","1"
"Soldier G","兵士Ｇ","1"
"Soldier B","兵士Ｂ","1"
"Soldier C","兵士Ｃ","1"
"Soldier D","兵士Ｄ","1"
"Zero","ゼロ","1"
"Octa","オクタ","1"
"Decadus","デカート","1"
"Cent","セント","1"
"Octa","Octa","1"
"Decadus","Decadus","1"
