"translation","source"
"セント","セント"
"ディト","ディト"
"ゼロ","ゼロ"
"デカート","デカート"
"ミハイル","ミハイル"
"Soldier A","Soldier A"
"Soldier B","Soldier B"
"Soldier C","Soldier C"
"Soldier D","Soldier D"
"Soldier F","Soldier F"
"Soldier E","Soldier E"
"Soldier G","Soldier G"
"217","217"
"271","271"
"説明文","説明文"
"Dito","Dito"
"Octa","Octa"
"Zero","Zero"
"Decadus","Decadus"
"兵士","兵士"
"Soldiers C/D/G","Soldiers C/D/G"
"兵士C","兵士C"
"181","181"
"397","397"
"Mikhail","Mikhail"
"Cent","Cent"
"Accord","Accord"
"オクタ","オクタ"
"兵士B","兵士B"
